district_no,district_name,district_name_french,party_affiliation,party_affiliation_french,last_name,first_name,middle_initial,votes_for
24016,Brome--Missisquoi,Brome--Missisquoi,Bloc Québécois,Bloc Québécois,Melchior,Patrick,,
24016,Brome--Missisquoi,Brome--Missisquoi,Green Party of Canada,Le Parti Vert du Canada,Moynan,Cindy,,
24016,Brome--Missisquoi,Brome--Missisquoi,Forces et Démocratie,Forces et Démocratie,Paine,Patrick,,
24016,Brome--Missisquoi,Brome--Missisquoi,Liberal Party of Canada,Parti libéral du Canada,Paradis,Denis,,
24016,Brome--Missisquoi,Brome--Missisquoi,Conservative Party of Canada,Parti conservateur du Canada,Poulin,Charles,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Conservative Party of Canada,Parti conservateur du Canada,Hamidi,Qais,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Green Party of Canada,Le Parti Vert du Canada,Hu,Fang,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Bloc Québécois,Bloc Québécois,Lachance,Suzanne,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,New Democratic Party,Nouveau Parti démocratique,Mai,Hoang,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Liberal Party of Canada,Parti libéral du Canada,Mendès,Alexandra,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Green Party of Canada,Le Parti Vert du Canada,Boutin,Louise,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Liberal Party of Canada,Parti libéral du Canada,Cadieux,Pierre,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Bloc Québécois,Bloc Québécois,Carignan,Johanne,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,New Democratic Party,Nouveau Parti démocratique,Caron,Guy,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Rhinoceros Party,Parti Rhinocéros,Côrriveau,Sébastien CôRhino,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Conservative Party of Canada,Parti conservateur du Canada,Fortin,Francis,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Green Party of Canada,Le Parti Vert du Canada,Baudet,Nathalie,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Liberal Party of Canada,Parti libéral du Canada,Côté,Jean,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,New Democratic Party,Nouveau Parti démocratique,Day,Anne-Marie,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Conservative Party of Canada,Parti conservateur du Canada,Paul-Hus,Pierre,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Bloc Québécois,Bloc Québécois,Turmel,Marc Antoine,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Conservative Party of Canada,Parti conservateur du Canada,Boucher,Sylvie,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Forces et Démocratie,Forces et Démocratie,Desjardins Pelchat,Mario,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Bloc Québécois,Bloc Québécois,Dufour,Sébastien,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Green Party of Canada,Le Parti Vert du Canada,Kerr,Patrick,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,New Democratic Party,Nouveau Parti démocratique,Tremblay,Jonathan,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Liberal Party of Canada,Parti libéral du Canada,Vigneau,Jean-Roger,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,New Democratic Party,Nouveau Parti démocratique,Chicoine,Sylvain,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Green Party of Canada,Le Parti Vert du Canada,Mercier,Jency,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Liberal Party of Canada,Parti libéral du Canada,Shanahan,Brenda,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Bloc Québécois,Bloc Québécois,Stanké,Sophie,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Conservative Party of Canada,Parti conservateur du Canada,St-Pierre,Philippe,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Sullivan,Linda,,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Bloc Québécois,Bloc Québécois,Gauthier,Élise,,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Liberal Party of Canada,Parti libéral du Canada,Lemieux,Denis,,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,New Democratic Party,Nouveau Parti démocratique,Morin,Dany,,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Conservative Party of Canada,Parti conservateur du Canada,Ste-Marie,Caroline,,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Green Party of Canada,Le Parti Vert du Canada,St-Gelais,Dany,,
24023,Compton--Stanstead,Compton--Stanstead,Liberal Party of Canada,Parti libéral du Canada,Bibeau,Marie-Claude,,
24023,Compton--Stanstead,Compton--Stanstead,Bloc Québécois,Bloc Québécois,Bonsant,France,,
24023,Compton--Stanstead,Compton--Stanstead,Rhinoceros Party,Parti Rhinocéros,Côté,Kévin,,
24023,Compton--Stanstead,Compton--Stanstead,Conservative Party of Canada,Parti conservateur du Canada,Labrador,Gustavo,,
24023,Compton--Stanstead,Compton--Stanstead,Green Party of Canada,Le Parti Vert du Canada,Marshall,Korie,,
24023,Compton--Stanstead,Compton--Stanstead,New Democratic Party,Nouveau Parti démocratique,Rousseau,Jean,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Conservative Party of Canada,Parti conservateur du Canada,Chivu,Daniela,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Liberal Party of Canada,Parti libéral du Canada,Dhillon,Anju,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Green Party of Canada,Le Parti Vert du Canada,J. Carbonneau,Vincent,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,New Democratic Party,Nouveau Parti démocratique,Morin,Isabelle,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Independent,Indépendant,Ndiaye,Soulèye,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Bloc Québécois,Bloc Québécois,Vaudry,Jean-Frédéric,,
24025,Drummond,Drummond,Bloc Québécois,Bloc Québécois,Bourgeois,Diane,,
24025,Drummond,Drummond,New Democratic Party,Nouveau Parti démocratique,Choquette,François,,
24025,Drummond,Drummond,Green Party of Canada,Le Parti Vert du Canada,Coderre,Émile,,
24025,Drummond,Drummond,Liberal Party of Canada,Parti libéral du Canada,Côté,Pierre,,
24025,Drummond,Drummond,Conservative Party of Canada,Parti conservateur du Canada,Déry,Pascale,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Rhinoceros Party,Parti Rhinocéros,Boudreau,Max,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Liberal Party of Canada,Parti libéral du Canada,Lebouthillier,Diane,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Green Party of Canada,Le Parti Vert du Canada,Morrison,Jim,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Conservative Party of Canada,Parti conservateur du Canada,Pigeon,Jean-Pierre,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Bloc Québécois,Bloc Québécois,Roussy,Nicolas,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,New Democratic Party,Nouveau Parti démocratique,Toone,Philip,,
24027,Gatineau,Gatineau,Conservative Party of Canada,Parti conservateur du Canada,Angers,Luc,,
24027,Gatineau,Gatineau,Independent,Indépendant,Bellavance,Guy J,,
24027,Gatineau,Gatineau,Bloc Québécois,Bloc Québécois,Boily,Philippe,,
24027,Gatineau,Gatineau,New Democratic Party,Nouveau Parti démocratique,Boivin,Françoise,,
24027,Gatineau,Gatineau,Green Party of Canada,Le Parti Vert du Canada,Dostaler,Guy,,
24027,Gatineau,Gatineau,Liberal Party of Canada,Parti libéral du Canada,MacKinnon,Steven,,
24027,Gatineau,Gatineau,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Soublière,Pierre,,
24028,Hochelaga,Hochelaga,New Democratic Party,Nouveau Parti démocratique,Boutin-Sweet,Marjolaine,,
24028,Hochelaga,Hochelaga,Communist Party of Canada,Parti communiste du Canada,Breton Fontaine,Marianne,,
24028,Hochelaga,Hochelaga,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Dandenault,Christine,,
24028,Hochelaga,Hochelaga,Conservative Party of Canada,Parti conservateur du Canada,Dang,Alexandre,,
24028,Hochelaga,Hochelaga,Rhinoceros Party,Parti Rhinocéros,Lemay,Nicolas,,
24028,Hochelaga,Hochelaga,Bloc Québécois,Bloc Québécois,Marchand,Simon,,
24028,Hochelaga,Hochelaga,Liberal Party of Canada,Parti libéral du Canada,Rizqy,Marwah,,
24028,Hochelaga,Hochelaga,Green Party of Canada,Le Parti Vert du Canada,Saint-Cerny,Anne-Marie,,
24029,Honoré-Mercier,Honoré-Mercier,New Democratic Party,Nouveau Parti démocratique,Ayala,Paulina,,
24029,Honoré-Mercier,Honoré-Mercier,Bloc Québécois,Bloc Québécois,Beauséjour,Audrey,,
24029,Honoré-Mercier,Honoré-Mercier,Green Party of Canada,Le Parti Vert du Canada,Budilean,Angela,,
24029,Honoré-Mercier,Honoré-Mercier,Conservative Party of Canada,Parti conservateur du Canada,Croteau,Guy,,
24029,Honoré-Mercier,Honoré-Mercier,Forces et Démocratie,Forces et Démocratie,Dejean,Dayana,,
24029,Honoré-Mercier,Honoré-Mercier,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Le Seigle,Yves,,
24029,Honoré-Mercier,Honoré-Mercier,Liberal Party of Canada,Parti libéral du Canada,Rodriguez,Pablo,,
24030,Hull--Aylmer,Hull--Aylmer,Conservative Party of Canada,Parti conservateur du Canada,Boulrice,Étienne,,
24030,Hull--Aylmer,Hull--Aylmer,Bloc Québécois,Bloc Québécois,Chouinard-Boucher,Maude,,
24030,Hull--Aylmer,Hull--Aylmer,Independent,Indépendant,Desjardins,Luc,,
24030,Hull--Aylmer,Hull--Aylmer,Liberal Party of Canada,Parti libéral du Canada,Fergus,Greg,,
24030,Hull--Aylmer,Hull--Aylmer,Green Party of Canada,Le Parti Vert du Canada,Fleury,Roger,,
24030,Hull--Aylmer,Hull--Aylmer,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Girard-Bernier,Gabriel,,
24030,Hull--Aylmer,Hull--Aylmer,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Mulligan,Sean J.,,
24030,Hull--Aylmer,Hull--Aylmer,New Democratic Party,Nouveau Parti démocratique,Turmel,Nycole,,
24031,Joliette,Joliette,Liberal Party of Canada,Parti libéral du Canada,Bourgeois,Michel,,
24031,Joliette,Joliette,Conservative Party of Canada,Parti conservateur du Canada,Eid,Soheil,,
24031,Joliette,Joliette,New Democratic Party,Nouveau Parti démocratique,Landreville,Danielle,,
24031,Joliette,Joliette,Forces et Démocratie,Forces et Démocratie,Morais,Robert D.,,
24031,Joliette,Joliette,Green Party of Canada,Le Parti Vert du Canada,Morin,Mathieu,,
24031,Joliette,Joliette,Bloc Québécois,Bloc Québécois,Ste-Marie,Gabriel,,
24032,Jonquière,Jonquière,Green Party of Canada,Le Parti Vert du Canada,Budilean,Carmen,,
24032,Jonquière,Jonquière,Bloc Québécois,Bloc Québécois,Caron,Jean-François,,
24032,Jonquière,Jonquière,Rhinoceros Party,Parti Rhinocéros,Couture,Marielle,,
24032,Jonquière,Jonquière,Conservative Party of Canada,Parti conservateur du Canada,Larouche,Ursula,,
24032,Jonquière,Jonquière,Liberal Party of Canada,Parti libéral du Canada,Pettersen,Marc,,
24032,Jonquière,Jonquière,New Democratic Party,Nouveau Parti démocratique,Trudel,Karine,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Bloc Québécois,Bloc Québécois,Beaulieu,Mario,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Rhinoceros Party,Parti Rhinocéros,Benoit,Ben 97,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Green Party of Canada,Le Parti Vert du Canada,Cox,David J.,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Forces et Démocratie,Forces et Démocratie,Larose,Jean-François,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Conservative Party of Canada,Parti conservateur du Canada,Morissette,Guy,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,New Democratic Party,Nouveau Parti démocratique,Péclet,Ève,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Royer,Geneviève,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Liberal Party of Canada,Parti libéral du Canada,Simard,Marie-Chantale,,
24034,La Prairie,La Prairie,New Democratic Party,Nouveau Parti démocratique,Chicoine,Pierre,,
24034,La Prairie,La Prairie,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Chouinard,Normand,,
24034,La Prairie,La Prairie,Conservative Party of Canada,Parti conservateur du Canada,Perras,Yves,,
24034,La Prairie,La Prairie,Bloc Québécois,Bloc Québécois,Picard,Christian,,
24034,La Prairie,La Prairie,Liberal Party of Canada,Parti libéral du Canada,Poissant,Jean-Claude,,
24034,La Prairie,La Prairie,Green Party of Canada,Le Parti Vert du Canada,Tomas,Joanne,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,New Democratic Party,Nouveau Parti démocratique,Dallaire,Gisèle,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,Bloc Québécois,Bloc Québécois,Gaudreault,Sabin,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,Conservative Party of Canada,Parti conservateur du Canada,Lebel,Denis,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,Green Party of Canada,Le Parti Vert du Canada,Requilé,Laurence,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,Liberal Party of Canada,Parti libéral du Canada,Simard,Sabin,,
24036,Lac-Saint-Louis,Lac-Saint-Louis,Bloc Québécois,Bloc Québécois,Bernier,Gabriel,,
24036,Lac-Saint-Louis,Lac-Saint-Louis,Green Party of Canada,Le Parti Vert du Canada,Dean,Bradford,,
24036,Lac-Saint-Louis,Lac-Saint-Louis,Conservative Party of Canada,Parti conservateur du Canada,Girard,Eric,,
24036,Lac-Saint-Louis,Lac-Saint-Louis,Liberal Party of Canada,Parti libéral du Canada,Scarpaleggia,Francis,,
24036,Lac-Saint-Louis,Lac-Saint-Louis,New Democratic Party,Nouveau Parti démocratique,Young,Ryan,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Green Party of Canada,Le Parti Vert du Canada,Banville,Lorraine,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Liberal Party of Canada,Parti libéral du Canada,Lametti,David,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,New Democratic Party,Nouveau Parti démocratique,LeBlanc,Hélène,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Bloc Québécois,Bloc Québécois,Paquette,Gilbert,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Conservative Party of Canada,Parti conservateur du Canada,Zamir,Mohammad,,
24038,Laurentides--Labelle,Laurentides--Labelle,Conservative Party of Canada,Parti conservateur du Canada,Charron,Sylvain,,
24038,Laurentides--Labelle,Laurentides--Labelle,Liberal Party of Canada,Parti libéral du Canada,Graham,David,,
24038,Laurentides--Labelle,Laurentides--Labelle,Green Party of Canada,Le Parti Vert du Canada,Hedjazi,Niloufar,,
24038,Laurentides--Labelle,Laurentides--Labelle,New Democratic Party,Nouveau Parti démocratique,Landry,Simon-Pierre,,
24038,Laurentides--Labelle,Laurentides--Labelle,Bloc Québécois,Bloc Québécois,Régimbald,Johanne,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Libertarian Party of Canada,Parti Libertarien du Canada,Beaulieu,Stéphane,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Independent,Indépendant,Bernatchez,Julien,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Bloc Québécois,Bloc Québécois,Duceppe,Gilles,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Communist Party of Canada,Parti communiste du Canada,Fontaine,Pierre,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Conservative Party of Canada,Parti conservateur du Canada,Gaudreau,Daniel,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Green Party of Canada,Le Parti Vert du Canada,Giraud,Cyrille,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Lachapelle,Serge,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,New Democratic Party,Nouveau Parti démocratique,Laverdière,Hélène,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Liberal Party of Canada,Parti libéral du Canada,Poirier,Christine,,
24040,Laval--Les Îles,Laval--Les Îles,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Breton,Yvon,,
24040,Laval--Les Îles,Laval--Les Îles,Conservative Party of Canada,Parti conservateur du Canada,Dick,Roland,,
24040,Laval--Les Îles,Laval--Les Îles,Liberal Party of Canada,Parti libéral du Canada,El-Khoury,Fayçal,,
24040,Laval--Les Îles,Laval--Les Îles,New Democratic Party,Nouveau Parti démocratique,Pilon,François,,
24040,Laval--Les Îles,Laval--Les Îles,Bloc Québécois,Bloc Québécois,Redhead,Nancy,,
24040,Laval--Les Îles,Laval--Les Îles,Green Party of Canada,Le Parti Vert du Canada,R'Guiba-Kalogerakis,Faiza,,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Conservative Party of Canada,Parti conservateur du Canada,Barré,Thomas,,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Chénier,Pierre,,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Bloc Québécois,Bloc Québécois,Cloutier,Philippe,,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,New Democratic Party,Nouveau Parti démocratique,Groguhé,Sadia,,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Green Party of Canada,Le Parti Vert du Canada,Leclerc,Mario,,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Rhinoceros Party,Parti Rhinocéros,Liberman,Matthew Iakov,,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,Liberal Party of Canada,Parti libéral du Canada,Romanado,Sherry,,
24042,Lévis--Lotbinière,Lévis--Lotbinière,Alliance of the North,Alliance du Nord,Belanger,François,,
24042,Lévis--Lotbinière,Lévis--Lotbinière,Green Party of Canada,Le Parti Vert du Canada,Biello,Tina,,
24042,Lévis--Lotbinière,Lévis--Lotbinière,New Democratic Party,Nouveau Parti démocratique,Bilodeau,Hélène,,
24042,Lévis--Lotbinière,Lévis--Lotbinière,Liberal Party of Canada,Parti libéral du Canada,Boucher,Claude,,
24042,Lévis--Lotbinière,Lévis--Lotbinière,Bloc Québécois,Bloc Québécois,Gagné,Steve,,
24042,Lévis--Lotbinière,Lévis--Lotbinière,Conservative Party of Canada,Parti conservateur du Canada,Gourde,Jacques,,
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,Forces et Démocratie,Forces et Démocratie,Lwalalika,Affine,,
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,New Democratic Party,Nouveau Parti démocratique,Nantel,Pierre,,
